task_id,parent_id,wave,domain,title,depends_on,status,kind,effort_person_days,process_profile,skills,learning_refs,deliverables,acceptance_criteria,evidence_required,completion_condition,claimant,branch,reviewer
Z-01,SRP-ROOT,W3,构建交付,【构建交付】干净检出构建复现与候选制品,I-01|A-02|A-03|U-08|G-02,WAIT_DEP,FIXED,5,P-DELIVERY,构建自动化+环境锁定+哈希+许可,L-GIT|L-MARKDOWN,Unity参与者构建;Python环境;TD操作台;离线报告样例;SBOM;哈希清单,AC1干净检出一键或按文档重建；AC2三个制品版本互相匹配；AC3许可证SBOM和校验和完整,构建日志;环境锁;制品哈希;第三方清单,候选制品不冒充正式阶段锁定构建,,,
G-05,G-01,W3,外部准入,【外部准入】正式环境机构路径许可与U8实地闭环,G-01|G-02,WAIT_DEP_EXTERNAL,FIXED,5,P-INTEGRATION,正式环境配置+机构协调+许可核验+实地演练,L-RESEARCH|L-DATASEC|L-GIT,机构执行路径与冻结字段回执;M-001量表授权证据;真实团队角色培训记录;正式专机六项配置报告;机构批准的数据保留期限;Unity发布资产许可清零或替换证明;两周U8实地演练报告;下游准入矩阵,AC1机构执行路径M-001授权补偿联系人渠道期限和角色培训均由真实责任人签署；AC2正式专机六项配置全部通过且Unity发布资产未知未跟踪与阻断项清零或有已验证替换；AC3两周实地演练覆盖完整漏斗故障与恢复并给出U8 PASS或NO_GO且下游准入矩阵可追溯,机构回执;授权证据;正式环境报告;资产许可报告;U8演练报告;下游准入签署矩阵,仅真实外部回执正式机器报告和实地演练可关闭；仓库内模拟检查或团队总监单独签字不得替代,未领取,,未指定
E-01,Q-01,W4,研究执行,【研究执行】Level A专家审查执行,Q-01|G-05,BLOCKED_EXTERNAL,FIXED,3,P-RUN,专家联络+盲态收集+CVI复核,L-RESEARCH,八专家真实评分;角色记录;CVI结果;修订决定,AC1八名专家满足角色要求；AC2I-CVI和S-CVI达到门或明确回退；AC3原始表与汇总哈希一致,专家记录;汇总报告;签署修订日志,G-05外部准入关闭后执行且未过则返回Q-01,,,
E-02,Q-02,W4,研究执行,【研究执行】Level B认知预试执行与关闭,Q-02|E-01,BLOCKED_EXTERNAL,FIXED,5,P-RUN,认知访谈+编码+修订决策,L-RESEARCH,12至16人记录;误解编码;修订构建;关闭报告,AC1目标人数和两条件覆盖完成；AC2关键误解均有闭环；AC3关闭构建回归通过且哈希冻结,会话清单;编码表;修订矩阵;构建哈希,批准后执行且未过则返回Q-02,,,
B-01,Q-03,W4,研究批次,【研究批次】Level C会话批次模板,Q-03|E-02,BLOCKED_EXTERNAL,TEMPLATE,5,P-RUN,会话执行+真机检查+批次QC,L-RESEARCH|L-DATASEC,每实例最多12人的manifest;会话日志;批次QC;偏离清单,AC1每位只参与一次且manifest唯一；AC2双设备和量表记录按计划落盘；AC3批次结束即校验哈希覆盖和平衡,批次实例登记;会话清单;QC报告;偏离日志,重复实例直至48人和每条件24人要求满足,,,
E-03,Q-03,W4,研究关闭,【研究关闭】Level C汇总门与阈值冻结,Q-03|E-02|B-01,BLOCKED_EXTERNAL,FIXED,5,P-ANALYSIS,盲态汇总+阈值冻结+NO_GO判断,L-STAT|L-PANDAS,48人盲态报告;SCCI适用性;信号门;时钟延迟;冻结配置,AC1全部B-01实例通过QC；AC2所有冻结数值达到门或明确NO_GO；AC3配置报告构建哈希和签署一致,实例总表;Level C报告;冻结配置;签署记录,不得用条件效果方向调参,,,
G-03,E-03,W4,预注册与锁定,【预注册与锁定】阶段一估计目标报告清单与构建锁定,E-03|X-01|Z-01|A-02|A-03-CAL|G-05,BLOCKED_EXTERNAL,FIXED,5,P-DELIVERY,预注册+估计目标+版本冻结+校验和,L-RESEARCH|L-GIT,阶段一预注册包;RQ1至RQ3;逐Gate估计目标表;机会分母PF;Gate2三组件;次要FDR;随机化清单封存;SPIRIT/CONSORT启发式完整性清单;负面结果与偏离流程,AC1U1至U5及U8全部进入预注册且报告清单仅作自愿完整性参考；AC2构建清单工具模型原因码配置哈希一致；AC3任何未关闭外部门禁升级门或Monte Carlo NO_GO阻止B-02实例化,预注册回执;估计目标表;锁定清单;构念与完整表示方案审计;完整性清单;签署记录,批准预注册完成且U1至U5 U8和G-05外部准入关闭后解锁阶段一批次,,,
B-02,G-03,W5,正式批次,【正式批次】阶段一会话批次模板,G-03,BLOCKED_EXTERNAL,TEMPLATE,5,P-RUN,正式会话+条件顺序平衡+批次QC,L-RESEARCH|L-DATASEC,每实例最多12人的正式manifest;会话日志;批次QC;偏离清单,AC1分配只来自X-01锁定清单；AC2每位只参与一次且构建哈希正确；AC3批次结束即验证数据覆盖偏离和剩余平衡,批次实例登记;会话清单;QC报告;偏离日志,重复实例并按48人完整块关闭至目标或NO_GO,,,
E-04,G-03,W5,研究关闭,【研究关闭】阶段一批次汇总锁库与揭盲授权,G-03|B-02,BLOCKED_EXTERNAL,FIXED,5,P-RUN,批次汇总+锁库+平衡审计+揭盲授权,L-RESEARCH|L-DATASEC,阶段一完整清单;平衡报告;偏离报告;锁库哈希;揭盲授权,AC1全部B-02实例QC通过；AC2每条件24顺序保持平衡且人数达冻结目标；AC3锁库前排除和算法均签署,实例总表;锁库清单;平衡报告;签署授权,不足目标只能追加完整48人块或NO_GO,,,
A-05,A-02,W5,锁定分析,【锁定分析】阶段一机会PF联合Gate2与策略数据发布,A-02|A-03|E-04,BLOCKED_EXTERNAL,FIXED,5,P-ANALYSIS,锁定分析+机会分母+FDR+门控结论,L-STAT|L-PANDAS,Gate1双分析与三个PF;SCCI操纵检查;四层理解和心智努力非劣;次要FDR;复合实例失败分布;缺失降级;阶段一图表;含行为概率策略训练数据,AC1所有结果从锁库哈希一键生成且技术不可观测机会不从主要分母静默删除；AC2Gate顺序和联合Gate2反证严格执行且RQ3不挑有利模块；AC3训练数据只含允许在线状态已知行为概率和scene_native轨迹,复现日志;Gate与过程报告;机会分类表;FDR报告;图表哈希;训练数据manifest,Gate1或联合Gate2未过则阻断确认性阶段三但保留失败知识,,,
E-05,X-02,W5,策略冻结,【策略冻结】阶段二OPE支持ESS稳定性与策略签署,A-05|X-02,BLOCKED_EXTERNAL,FIXED,5,P-ANALYSIS,冻结训练+参与者分组交叉拟合+OPE+审计签署,L-ML|L-GIT,冻结特征系数缩放器温度;策略manifest;行为概率;交叉拟合OPE;有效样本量;消融覆盖熵回退校准稳定性报告;均匀回退配置,AC1只使用阶段一scene_native锁定参与者轨迹且心电过程不进入在线状态；AC2OPE增益动作支持ESS策略熵校准跨折稳定性和概率审计全部通过；AC3任一不足时冻结均匀或更简单策略并从次贡献删除优效表述,训练日志;模型卡;OPE与ESS报告;消融稳定性报告;概率审计;签署哈希,Gate1和联合Gate2通过且U6关闭后才可进入确认性阶段三,,,
G-04,E-05,W5,预注册与锁定,【预注册与锁定】阶段三部署策略估计目标与同构建锁定,E-05|X-03|Z-01,BLOCKED_EXTERNAL,FIXED,5,P-DELIVERY,预注册+策略锁+同构建+分析锁,L-RESEARCH|L-GIT,阶段三预注册包;冻结策略;同一scene_native构建;均衡随机清单;含回退部署策略估计目标;Gate3与PF护栏;OPE支持ESS审计配置;报告完整性清单;负面结果分支,AC1策略清单和全部支持阈值与E-05一致且两组构建哈希相同；AC2禁止在线学习并记录概率支持ESS熵回退；AC3未关闭Gate U6 U8或外部门禁阻止B-03实例化,预注册回执;构建哈希比对;估计目标表;权限负测试;策略审计fixture;完整性清单,批准预注册完成且U6/U8关闭后解锁阶段三批次,,,
B-03,G-04,W5,正式批次,【正式批次】阶段三会话批次模板,G-04,BLOCKED_EXTERNAL,TEMPLATE,5,P-RUN,正式会话+策略随机对照+批次QC,L-RESEARCH|L-DATASEC,每实例最多12人的正式manifest;决策概率;会话日志;批次QC,AC1分配来自锁定阶段三清单；AC2策略组每次决策可重放且随机组顺序平衡；AC3每位只参与一次且构建哈希正确,批次实例登记;会话清单;决策日志;QC报告,重复实例并按48人完整块关闭至目标或NO_GO,,,
E-06,G-04,W5,研究关闭,【研究关闭】阶段三批次汇总锁库与揭盲授权,G-04|B-03,BLOCKED_EXTERNAL,FIXED,5,P-RUN,批次汇总+锁库+策略审计+揭盲授权,L-RESEARCH|L-DATASEC,阶段三完整清单;平衡与策略审计;偏离报告;锁库哈希,AC1全部B-03实例QC通过；AC2两组人数和随机基准24顺序达到冻结要求；AC3策略未在线更新且锁库签署完成,实例总表;锁库清单;策略哈希比对;签署授权,不足目标只能追加完整48人块或NO_GO,,,
A-04,A-05,W5,最终分析,【最终分析】估计目标三重门FDR策略审计与复现,A-05|E-06,BLOCKED_EXTERNAL,FIXED,5,P-ANALYSIS,锁定统计+FDR+自动图表+复现,L-STAT|L-PANDAS,Gate1至3估计目标报告;三个PF与联合Gate2;次要FDR;复合实例效应区间;策略OPE支持ESS熵回退校准;数据字典;偏离缺失降级附录;复现脚本,AC1全部表图从两阶段锁库一键生成且逐Gate总体分配结果偏离缺失模型一致；AC2Gate顺序主次探索FDR和失败降级无越级；AC3数据字典公开层级合成数据与干净环境重建通过G-02检查,统计报告;FDR与复合实例图表;策略审计图表;图表源文件;独立复现日志;哈希清单,只报告数据支持的结果并保留失败结论不确定性和主张降级,,,
A-06,A-05,W5,研究关闭,【研究关闭】阶段一主论文与条件式阶段三范围关闭,A-05,WAIT_DEP,FIXED,4,P-DELIVERY,范围裁定+证据汇总+条件路线验证,L-RESEARCH|L-GIT,阶段一主论文范围包;条件式阶段三范围包;范围关闭回执;分配暴露与批次事实核验;投稿证据索引,AC1阶段一结果与真实范围关闭回执足以进入主稿且不要求未开展任务伪DONE；AC2阶段三一旦存在分配暴露或批次事实则必须消费A-04全部结果偏离和停止记录；AC3两条路线均验证无环且缺A-05缺范围回执或隐藏已启动阶段三时失败关闭,路线验证报告;范围关闭回执;批次与暴露审计;证据指纹;双人签收,由研究负责人按实际实施范围签署；阶段一主论文可独立收尾且阶段三仅在支持资源和外部准入通过后进入,,,
W-02,W-01,W6,论文写作,【论文写作】完整提示表示主线与条件式部署扩展IJHCI稿,W-01|A-06,WAIT_DEP,FIXED,5,P-DELIVERY,学术写作+图表叙事+主张审计,L-WRITING|L-MARKDOWN,完整主稿;表示方案标题摘要贡献;部署扩展降级分支;正负结果分支;设计规则与失败模式;主文补充材料预算;图表引用;限制;CRediT草案,AC1每项结果与A-06锁定范围一致并区分数据支持设计推断和未来假设；AC2正文围绕理论缺口候选四层语法阶段一和设计知识且部署扩展仅在A-04与对应范围门通过时进入贡献；AC3两名内部复核者完成主张最近工作引用与可迁移知识抽查,主稿版本;主张证据矩阵;正文补充材料清单;正负结果检查表;复核清单;相似性检查,不得保证录用或超出设计识别范围且未过门时执行标题摘要贡献降级,,,
W-03,W-02,W6,投稿复现,【投稿复现】IJHCI实时规范数据声明与独立复现包,W-02|Z-01|G-05,WAIT_DEP,FIXED,5,P-DELIVERY,匿名投稿+实时作者说明核对+数据代码说明,L-WRITING|L-GIT,匿名主稿;标题页;封面信;补充材料;实时IJHCI作者说明快照;数据可用性声明;Transparency and Openness声明;预注册偏离声明;环境锁SBOM许可;合成重建路径;图表源文件;公开顺序,AC1提交当天核对IJHCI作者说明和Taylor数据政策且不把通用清单写成期刊强制；AC2材料数据代码预注册分析计划版本逐项有状态证据且匿名版无身份泄露；AC3独立成员从干净环境运行复现包且许可允许公开或有受限替代说明,投稿包清单;规范快照;匿名扫描;数据声明;开放科学清单;独立复现日志;公开审批记录,提交动作需项目负责人确认且不把投稿写成发表或把受限内容伪装公开,,,
W-04,W-03,W6,成果交接,【成果交接】软件视频海报权属材料与归档,W-03|Z-01,WAIT_DEP,FIXED,5,P-DELIVERY,制品归档+视频海报+权属+团队移交,L-MARKDOWN|L-GIT,三个软件制品;展示视频;海报答辩;软著材料;专利检索记录;移交包,AC1所有制品版本与论文一致；AC2公开内容遵守W-03顺序和许可；AC3新成员按移交文档可重建并运行候选,归档哈希;演示录像;移交演练;权属清单,外部录用授权或认定不作为本任务可控完成条件,,,
